ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
96651769,0.1,,1.0,SE,Bromley,Studio,LEASEHOLD,,SE20,8BQ,51.417378,-0.071432,20220530,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,185000.0
122797805,0.3,,1.0,SE,Bromley,Studio,LEASEHOLD,,SE20,7TJ,51.41272,-0.052821,20220425,False,434.0,434.0,£426.27 per sq. ft.,Non-shared ownership,Resale,None,False,185000.0
122291504,0.9,1.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR5,4DH,51.383399,0.116964,20220412,True,,,,Non-shared ownership,Resale,Guide Price,False,190000.0
121158137,0.1,,1.0,SE,Bromley,Studio,LEASEHOLD,,SE20,8JW,51.411884,-0.062669,20220316,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,190000.0
85455351,0.7,3.0,2.0,BR,Bromley,Terraced,FREEHOLD,,BR6,0HE,51.378744,0.103321,20220607,False,,,,Non-shared ownership,Resale,None,True,475000.0
123772928,1.5,3.0,1.0,BR,Bromley,Detached,FREEHOLD,,BR2,8PE,51.375507,0.044054,20220528,False,,,,Non-shared ownership,Resale,Guide Price,False,830000.0
124116152,0.1,4.0,2.0,BR,Bromley,End of Terrace,FREEHOLD,,BR7,5NT,51.405653,0.059176,20220620,False,,,,Non-shared ownership,Resale,None,False,800000.0
119863004,1.0,1.0,,BR,Bromley,Flat,LEASEHOLD,,BR5,4JP,51.380628,0.112715,20220211,False,,,,Non-shared ownership,Resale,None,True,210000.0
85162425,0.8,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR6,0JD,51.382441,0.107181,20220505,False,,,,Non-shared ownership,Resale,Guide Price,False,210000.0
120864134,0.1,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR6,8PR,51.374627,0.085976,20220309,False,,,,Non-shared ownership,Resale,None,True,210000.0
